Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
18,12,10,276.939,269.546,267.088,265.592,265.852,265.288,266.767,265.317,264.717,265.192,264.717,0.5070234552371023
18,12,11,300.397,289.871,289.62,289.714,289.795,289.832,289.678,289.518,303.625,301.189,289.518,0.4635902707258271
18,12,12,326.37,314.597,314.527,322.113,314.596,321.1,314.606,314.621,314.677,314.571,314.527,0.42672879593802754
18,12,13,350.498,339.309,339.379,352.717,339.26,339.291,339.417,339.468,347.563,339.539,339.26,0.3956190768142428
18,12,14,377.041,364.427,364.556,364.221,371.8,364.509,371.308,364.458,364.275,364.596,364.221,0.36850628601865354
18,12,15,400.332,389.175,389.206,388.764,397.528,396.43,396.319,389.316,396.354,389.335,388.764,0.3452421726291529
18,12,16,228.542,219.305,219.546,217.943,219.253,218.07,227.536,219.752,218.038,219.189,217.943,0.6158386734146084
18,13,4,291.331,269.697,267.376,264.982,264.234,262.611,266.45,263.103,263.54,249.84,249.84,0.5372147294268331
18,13,5,315.98,303.649,303.771,303.394,304.774,311.067,319.905,304.114,310.704,304.063,303.394,0.4423875488638536
18,13,6,279.943,268.201,268.325,268.025,273.613,280.343,278.395,268.094,275.352,268.29,268.025,0.5007657046917267
18,13,7,319.302,308.589,308.87,308.451,308.669,308.687,316.619,308.731,315.605,316.28,308.451,0.43513468265624033
18,13,8,249.31,241.601,233.591,233.668,233.476,233.906,233.605,233.778,233.688,233.491,233.476,0.5748673439668317
18,13,9,271.475,260.811,262.122,268.974,260.829,261.086,260.324,260.945,260.363,268.079,260.324,0.5155795393432799
18,13,10,300.14,287.217,295.51,288.884,295.513,294.837,293.955,287.674,288.139,287.427,287.217,0.46730426123801866
18,13,11,327.707,320.858,316.186,322.833,325.678,320.614,313.353,313.65,314.085,313.825,313.353,0.4283275666740066
18,13,12,352.508,340.758,362.901,367.955,355.872,342.475,341.804,343.187,341.651,341.154,340.758,0.39387990303969383
18,13,13,383.159,369.437,368.867,370.759,369.128,368.392,368.368,368.282,368.291,368.964,368.282,0.364442812844505
18,13,14,409.025,397.899,394.634,395.667,403.323,394.572,394.892,395.117,401.049,394.573,394.572,0.3401602952059447
18,13,15,433.572,421.386,421.223,421.39,423.685,422.81,423.037,422.433,424.548,430.231,421.223,0.3186381750284291
18,13,16,247.525,239.552,239.207,235.905,236.006,235.777,246.15,235.666,244.075,236.609,235.666,0.569525209406533
